Room Temperature: 22 C,,,,
Condition: Measured water temp to make sure temp is constant before every trial,,,,
,Record Num,kohms_Avg,LWmV_Avg,PTemp_C_Avg
,,kilohms,mV,Deg C
,,Avg,Avg,Avg
,,,,
Trial 1  (14:52:00 - 14:57:00),,,,
07-09-21 14:52,205,-1.304,472.7,22.61
07-09-21 14:52,206,-1.099,421.4,22.61
07-09-21 14:52,207,-1.115,411.6,22.61
07-09-21 14:52,208,-1.153,403,22.61
07-09-21 14:52,209,-2.113,398.7,22.61
07-09-21 14:52,210,-2.487,395.5,22.61
07-09-21 14:52,211,-2.662,393.4,22.61
07-09-21 14:52,212,-2.704,390.6,22.61
07-09-21 14:52,213,-2.733,388.2,22.61
07-09-21 14:52,214,-2.735,385.5,22.61
07-09-21 14:52,215,-2.746,383.4,22.61
07-09-21 14:52,216,-2.769,381.4,22.61
07-09-21 14:53,217,-2.769,379.6,22.61
07-09-21 14:53,218,-2.777,377.4,22.61
07-09-21 14:53,219,-2.808,376,22.61
07-09-21 14:53,220,-2.858,373.9,22.61
07-09-21 14:53,221,-2.881,372.6,22.61
07-09-21 14:53,222,-2.886,370.6,22.61
07-09-21 14:53,223,-2.876,369.2,22.61
07-09-21 14:53,224,-2.879,367.4,22.61
07-09-21 14:53,225,-2.899,366.5,22.61
07-09-21 14:53,226,-2.915,365,22.61
07-09-21 14:53,227,-2.91,363.6,22.61
07-09-21 14:53,228,-2.902,361.9,22.61
07-09-21 14:54,229,-2.91,360.8,22.61
07-09-21 14:54,230,-2.868,359.5,22.61
07-09-21 14:54,231,-2.86,358.5,22.61
07-09-21 14:54,232,-2.842,356.8,22.61
07-09-21 14:54,233,-2.837,355.9,22.61
07-09-21 14:54,234,-2.795,354.2,22.61
07-09-21 14:54,235,-2.779,353.5,22.61
07-09-21 14:54,236,-2.761,352.4,22.61
07-09-21 14:54,237,-2.743,351.5,22.6
07-09-21 14:54,238,-2.717,350.2,22.61
07-09-21 14:54,239,-2.672,349.3,22.61
07-09-21 14:54,240,-2.648,348.2,22.61
07-09-21 14:55,241,-2.604,347.7,22.61
07-09-21 14:55,242,-2.586,346.2,22.61
07-09-21 14:55,243,-2.567,345.3,22.61
07-09-21 14:55,244,-2.549,344.5,22.61
07-09-21 14:55,245,-2.523,343.7,22.61
07-09-21 14:55,246,-2.51,342.9,22.61
07-09-21 14:55,247,-2.497,342.4,22.61
07-09-21 14:55,248,-2.481,342.3,22.61
07-09-21 14:55,249,-2.46,341.5,22.61
07-09-21 14:55,250,-2.449,341,22.61
07-09-21 14:55,251,-2.428,340.6,22.61
07-09-21 14:55,252,-2.41,340.2,22.61
07-09-21 14:56,253,-2.407,339.4,22.61
07-09-21 14:56,254,-2.392,338.5,22.61
07-09-21 14:56,255,-2.371,338,22.61
07-09-21 14:56,256,-2.344,337.2,22.61
07-09-21 14:56,257,-2.35,337.2,22.61
07-09-21 14:56,258,-2.329,337,22.61
07-09-21 14:56,259,-2.313,336,22.61
07-09-21 14:56,260,-2.303,335.8,22.61
07-09-21 14:56,261,-2.287,335.2,22.61
07-09-21 14:56,262,-2.274,334.6,22.61
07-09-21 14:56,263,-2.276,334,22.61
07-09-21 14:56,264,-2.279,334.4,22.61
07-09-21 14:57,265,-2.271,333.9,22.61
,,,,
Trial 2 (14:59:00 - 15:04:00),,,,
07-09-21 14:59,289,-2.444,445.5,22.61
07-09-21 14:59,290,-2.486,406.3,22.61
07-09-21 14:59,291,-2.536,399.9,22.61
07-09-21 14:59,292,-2.609,396.3,22.61
07-09-21 14:59,293,-2.656,393.1,22.61
07-09-21 14:59,294,-2.664,390.2,22.61
07-09-21 14:59,295,-2.677,388.5,22.61
07-09-21 14:59,296,-2.675,385.7,22.61
07-09-21 14:59,297,-2.669,383.7,22.61
07-09-21 14:59,298,-2.654,381.7,22.61
07-09-21 14:59,299,-2.648,378.7,22.61
07-09-21 14:59,300,-2.651,377.1,22.61
07-09-21 15:00,301,-2.633,375.2,22.61
07-09-21 15:00,302,-2.623,373,22.6
07-09-21 15:00,303,-2.612,371.2,22.6
07-09-21 15:00,304,-2.597,368.8,22.61
07-09-21 15:00,305,-2.581,367.6,22.6
07-09-21 15:00,306,-2.573,365.5,22.61
07-09-21 15:00,307,-2.56,364.4,22.61
07-09-21 15:00,308,-2.56,362.7,22.61
07-09-21 15:00,309,-2.557,360.9,22.61
07-09-21 15:00,310,-2.544,359.9,22.6
07-09-21 15:00,311,-2.544,358.7,22.61
07-09-21 15:00,312,-2.526,357.2,22.61
07-09-21 15:01,313,-2.523,355.1,22.61
07-09-21 15:01,314,-2.513,354.1,22.61
07-09-21 15:01,315,-2.502,352.7,22.61
07-09-21 15:01,316,-2.489,351.9,22.61
07-09-21 15:01,317,-2.475,350.3,22.6
07-09-21 15:01,318,-2.454,349.3,22.61
07-09-21 15:01,319,-2.454,347.8,22.6
07-09-21 15:01,320,-2.449,346.7,22.61
07-09-21 15:01,321,-2.43,345.1,22.6
07-09-21 15:01,322,-2.415,344.1,22.6
07-09-21 15:01,323,-2.396,342.9,22.6
07-09-21 15:01,324,-2.386,342.4,22.6
07-09-21 15:02,325,-2.372,340.7,22.59
07-09-21 15:02,326,-2.349,339.3,22.59
07-09-21 15:02,327,-2.343,338.3,22.59
07-09-21 15:02,328,-2.317,337.6,22.6
07-09-21 15:02,329,-2.314,336.7,22.59
07-09-21 15:02,330,-2.28,335.4,22.59
07-09-21 15:02,331,-2.263,334,22.59
07-09-21 15:02,332,-2.26,333.7,22.6
07-09-21 15:02,333,-2.231,332.8,22.6
07-09-21 15:02,334,-2.199,331.6,22.6
07-09-21 15:02,335,-2.189,331.3,22.59
07-09-21 15:02,336,-2.157,330.5,22.59
07-09-21 15:03,337,-2.136,329.9,22.59
07-09-21 15:03,338,-2.109,328.6,22.59
07-09-21 15:03,339,-2.093,328.5,22.59
07-09-21 15:03,340,-2.064,327.8,22.59
07-09-21 15:03,341,-2.054,327.2,22.59
07-09-21 15:03,342,-2.043,326.3,22.59
07-09-21 15:03,343,-2.027,326,22.59
07-09-21 15:03,344,-2.009,325.6,22.59
07-09-21 15:03,345,-1.993,325.5,22.59
07-09-21 15:03,346,-1.972,324.4,22.59
07-09-21 15:03,347,-1.959,324,22.59
07-09-21 15:03,348,-1.951,323.6,22.59
07-09-21 15:04,349,-1.874,323.5,22.59
,,,,
Trial 3 (15:06:00 - 15:11:00),,,,
07-09-21 15:06,373,-2.24,415.2,22.59
07-09-21 15:06,374,-2.235,400.2,22.59
07-09-21 15:06,375,-2.227,396.8,22.59
07-09-21 15:06,376,-2.201,393.3,22.59
07-09-21 15:06,377,-2.175,390.2,22.59
07-09-21 15:06,378,-2.161,387.7,22.59
07-09-21 15:06,379,-2.167,385,22.59
07-09-21 15:06,380,-2.177,382.8,22.58
07-09-21 15:06,381,-2.193,380.1,22.58
07-09-21 15:06,382,-2.222,378.1,22.59
07-09-21 15:06,383,-2.241,375.6,22.56
07-09-21 15:06,384,-2.256,373.8,22.56
07-09-21 15:07,385,-2.283,371.3,22.58
07-09-21 15:07,386,-2.299,369.7,22.56
07-09-21 15:07,387,-2.299,368.2,22.56
07-09-21 15:07,388,-2.311,365.2,22.56
07-09-21 15:07,389,-2.309,363.2,22.56
07-09-21 15:07,390,-2.311,361.5,22.56
07-09-21 15:07,391,-2.306,359.9,22.56
07-09-21 15:07,392,-2.306,359,22.56
07-09-21 15:07,393,-2.274,357,22.56
07-09-21 15:07,394,-2.272,355.2,22.56
07-09-21 15:07,395,-2.269,353.8,22.56
07-09-21 15:07,396,-2.266,351.9,22.56
07-09-21 15:08,397,-2.245,351,22.56
07-09-21 15:08,398,-2.248,350.2,22.56
07-09-21 15:08,399,-2.235,348.5,22.56
07-09-21 15:08,400,-2.206,347.3,22.56
07-09-21 15:08,401,-2.208,345.8,22.56
07-09-21 15:08,402,-2.201,344.9,22.56
07-09-21 15:08,403,-2.207,344.1,22.56
07-09-21 15:08,404,-2.207,343.4,22.56
07-09-21 15:08,405,-2.202,342,22.56
07-09-21 15:08,406,-2.188,340.6,22.56
07-09-21 15:08,407,-2.172,340.5,22.56
07-09-21 15:08,408,-2.167,340.5,22.56
07-09-21 15:09,409,-2.172,339.5,22.56
07-09-21 15:09,410,-2.159,338.1,22.56
07-09-21 15:09,411,-2.165,338,22.56
07-09-21 15:09,412,-2.141,337.5,22.56
07-09-21 15:09,413,-2.122,337.3,22.56
07-09-21 15:09,414,-2.122,336.9,22.56
07-09-21 15:09,415,-2.114,336.9,22.56
07-09-21 15:09,416,-2.096,1481,22.56
07-09-21 15:09,417,-2.095,1834,22.56
07-09-21 15:09,418,-2.089,1852,22.56
07-09-21 15:09,419,-2.079,1862,22.56
07-09-21 15:09,420,-2.079,1869,22.56
07-09-21 15:10,421,-2.06,1872,22.56
07-09-21 15:10,422,-2.074,1874,22.56
07-09-21 15:10,423,-2.058,1879,22.56
07-09-21 15:10,424,-2.058,1883,22.56
07-09-21 15:10,425,-2.042,1885,22.56
07-09-21 15:10,426,-2.039,1886,22.56
07-09-21 15:10,427,-2.029,1887,22.56
07-09-21 15:10,428,-2.023,1886,22.56
07-09-21 15:10,429,-2.002,1878,22.56
07-09-21 15:10,430,-1.999,1870,22.56
07-09-21 15:10,431,-2,1869,22.56
07-09-21 15:10,432,-1.987,1871,22.56
07-09-21 15:11,433,-1.979,1875,22.56
